section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043624031191,603.962,596.211,1.0,,,4.452820508815224,-4.203095168940765
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043627748191,792.76,690.685,1.0,,,18.851831483869002,-11.106926329513332
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043635618191,789.607,689.553,1.0,,,18.608225581616463,-11.02807435728983
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043639662191,782.594,681.274,1.0,,,18.049491891817578,-10.42661726430381
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043643657191,781.601,672.884,1.0,,,17.94992443616013,-9.808018031935873
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043647658191,786.242,681.098,1.0,,,18.325941766116475,-10.408641164629858
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043655643191,787.176,695.647,1.0,,,18.443553405921026,-11.481729625753374
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043659666191,784.694,700.037,1.0,,,18.26948249666731,-11.809883665092658
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043664957191,787.625,708.887,1.0,,,18.524601984488267,-12.458865950291717
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043667670191,792.09,712.461,1.0,,,18.878954747875024,-12.715073319200334
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043675654191,792.223,712.777,1.0,,,18.890324977763505,-12.738169019815805
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043679664191,780.967,707.796,1.0,,,18.01253905831748,-12.38922931387796
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043683668191,777.7,690.576,1.0,,,17.706066544438112,-11.12112121474819
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043687652191,777.531,690.89,1.0,,,17.694184947781352,-11.144525646427077
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043695648191,790.113,708.267,1.0,,,18.712142519404278,-12.408871724346895
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043699696191,798.811,708.594,1.0,,,19.37729947840854,-12.418145232224367
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043703703191,790.344,698.585,1.0,,,18.694898775789092,-11.69373375641071
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043707856191,792.342,699.005,1.0,,,18.848560319989986,-11.721553052113215
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043715673191,782.995,703.753,1.0,,,18.152930813142696,-12.087140168655566
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043719758191,740.735,702.737,1.0,,,14.92932155079981,-12.0736133482057
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043723693191,723.404,701.608,1.0,,,13.60637746776861,-12.011572780080854
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043727669191,697.622,693.36,1.0,,,11.625553103583504,-11.425323397205233
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043735670191,631.181,653.333,1.0,,,6.5341174462383815,-8.477851890308902
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043739655191,594.587,660.114,1.0,,,3.7729264687910886,-8.998772146897828
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043743659191,576.03,677.059,1.0,,,2.37565896712355,-10.27467295031587
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1702034043747656191,573.158,665.414,1.0,,,2.1540769898125127,-9.40096864498019
