section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1,1702036388306671135,1702036388510666135,203
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,2,1702036399190681135,1702036399382823135,192
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,3,1702036401762819135,1702036402098965135,336
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,4,1702036408038645135,1702036408378712135,340
