"section.id";"recording.id";"fixation.id";"start.timestamp..ns.";"end.timestamp..ns.";"duration..ms.";"fixation.x..px.";"fixation.y..px.";"azimuth..deg.";"elevation..deg."
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";32;1702041833457495040;1702041834017440000;559;639.338;653.141;7.15020709475545;-8.45992551414244
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";33;1702041834089475072;1702041835089323008;999;591.151;864.196;3.71376086907304;-24.3371459141979
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";34;1702041835153552896;1702041835445385984;291;631.046;635.445;6.5098351033586;-7.13771914559475
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";35;1702041835525468928;1702041836185327104;659;585.963;803.881;3.22573919176086;-19.7979022285651
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";36;1702041836249325056;1702041836601519104;352;664.546;497.071;8.99653402361634;3.22079497011363
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";37;1702041836741475072;1702041837145346048;403;570.821;752.75;2.01201322764151;-15.9598415224135
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";38;1702041837281387008;1702041837477498112;196;749.545;626.504;15.4285583229142;-6.40580573396612
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";39;1702041837541444096;1702041838061523968;520;562.812;502.181;1.35965505694615;2.85107473603054
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";40;1702041838133437952;1702041838869362944;735;593.12;758.714;3.73510800978415;-16.4000877794339
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";41;1702041838933526016;1702041839393327104;459;628.073;569.79;6.25592180525395;-2.21945950712233
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";42;1702041839461435904;1702041839829498112;368;781.488;717.03;18.0862774452024;-13.0708815318754
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";43;1702041839901484032;1702041840189317888;287;573.531;638.637;2.17472763942802;-7.39078110638017
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";44;1702041840261385984;1702041840565508096;304;571.751;840.41;2.1424167605768;-22.5536155952883
"c74d2b41-048e-481f-af72-30d37bae52c0";"d32e8f0c-813a-4372-a24e-82811b622a7d";45;1702041840633477888;1702041840917492992;284;656.828;591.353;8.42185052416737;-3.82906941250295
