section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,1,1702295601569341543,1702295601845192543,275
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,2,1702295611989149543,1702295612253160543,264
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,3,1702295615213137543,1702295615537155543,324
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,4,1702295622357090543,1702295622693181543,336
426db22d-9062-4fe0-a502-4fe3398d1790,094ca192-7776-426a-91c7-0f81c145b1ae,5,1702295628729109543,1702295628977185543,248
