section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1,1702042010549904916,1702042010857873916,307
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,2,1702042015729878916,1702042016029922916,300
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,3,1702042020261918916,1702042020581914916,319
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,4,1702042022497877916,1702042022869909916,372
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,5,1702042024437887916,1702042024814050916,376
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,6,1702042027501908916,1702042027777916916,276
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,7,1702042027909868916,1702042028257883916,348
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,8,1702042036001887916,1702042036353853916,351
