section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295813756292,-3.780488,0.609756,-4.512195,-0.244019,-0.946045,-0.472107,7.109778212503528,89.56704670545827,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295818696292,-3.170732,0.670732,-4.939024,-0.244263,-0.9422,-0.472046,7.220154430265666,89.13720791189269,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295823636292,-2.804878,0.853659,-4.817073,-0.242065,-0.937927,-0.47406,7.330786826276864,88.709057629227,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295828576292,-2.378049,1.097561,-4.268293,-0.236084,-0.935303,-0.472656,7.440298995864481,88.28249293895908,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295833516292,-2.134146,1.585366,-4.085366,-0.237793,-0.930664,-0.467651,7.553237987628847,87.85748196447355,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295838456292,-2.012195,1.95122,-3.841464,-0.243042,-0.930237,-0.468323,7.6700306469336965,87.43371171855244,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295843396292,-1.52439,2.012195,-3.658537,-0.241455,-0.929199,-0.46521,7.786436298512228,87.01230097505987,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295848336292,-1.52439,2.195122,-3.963415,-0.243347,-0.932495,-0.464355,7.903882587458924,86.59107208405294,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295853276292,-1.646341,2.378049,-4.634146,-0.247437,-0.940491,-0.464661,8.022603351562907,86.16950087431076,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295858216292,-1.95122,2.439024,-5.121951,-0.248718,-0.947571,-0.4646,8.140968942693263,85.74643187733932,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295863156292,-2.378049,2.317073,-5.731708,-0.254761,-0.955688,-0.456177,8.259737688976713,85.32171946854737,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295868096292,-2.743902,2.256098,-6.341464,-0.253906,-0.956848,-0.457031,8.377169477213698,84.89514079190923,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295873036292,-3.414634,2.012195,-6.768293,-0.256226,-0.960266,-0.464844,8.49338595546132,84.46547947739344,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295877976292,-4.45122,1.890244,-7.317073,-0.259094,-0.961975,-0.462463,8.609253406590994,84.0310192948433,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295882916292,-5.304878,1.707317,-8.109756,-0.252319,-0.964294,-0.458313,8.72053032614187,83.59164141689507,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295887856292,-5.914634,1.463415,-8.414635,-0.254456,-0.955627,-0.45636,8.831639659229353,83.14981614582246,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295892796292,-6.463415,1.52439,-9.02439,-0.259216,-0.949341,-0.449463,8.944628548771107,82.70601380269306,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295897736292,-6.95122,1.219512,-9.939025,-0.259888,-0.946838,-0.450623,9.055491593880504,82.25996646293356,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295902676292,-7.073171,1.036585,-10.182927,-0.26123,-0.94043,-0.452759,9.165869286542488,81.81377538695244,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295907616292,-7.134147,0.853659,-10.182927,-0.255798,-0.932556,-0.450745,9.27346828142771,81.36713044253071,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295912556292,-7.439024,0.731707,-9.878049,-0.250488,-0.925842,-0.446655,9.378714778949956,80.9188804431322,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295917496292,-7.5,0.731707,-9.268292,-0.25,-0.921875,-0.442749,9.484034822230399,80.47073020770563,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295922436292,-7.256098,0.97561,-9.02439,-0.257202,-0.922302,-0.440918,9.592862185946444,80.02479533215359,,,,,
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1702038295927376292,-7.012195,1.219512,-9.02439,-0.257202,-0.91803,-0.436279,9.702715218338284,79.58041395964352,,,,,
